,ingredient,amount,ingr_annotation,amount_annotation
553,weizen grieß,4 esslöffel,"{""anzahl"": 4, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essl\u00f6ffel"", ""eigenschaft"": ""Weizen""}"
554,topfen mager ,1 kg,"{""gewicht"": 1, ""einheit"": ""kg""}","{""zutat"": ""Topfen"", ""eigenschaft"": ""mager""}"
555,tomaten frisch aus demgarten,1 schüssel,"{""anzahl"": 1, ""einheit"": ""sch\u00fcssel""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""aus dem Garten""}"
556,paprika,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Paprika""}"
557,zwiebel rot,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}"
558,gurke,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Gurke""}"
559,basilikumblätter,1 hand voll,"{""anzahl"": 1, ""einheit"": ""hand voll""}","{""zutat"": ""Basilikumblatt""}"
560,essig,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig""}"
561,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}"
562,honig flüssig,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Honig"", ""eigenschaft"": ""fl\u00fcssig""}"
563,olivenöl extra vergine,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}"
564,gemüsebrühe,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""gem\u00fcseartig""}"
565,küchenmaschine,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""K\u00fcchenmaschine""}"
566,romanesco,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Romanesco""}"
567,blumenkohl frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Blumenkohl"", ""eigenschaft"": ""frisch""}"
568,kartoffeln festkochend,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""festkochend""}"
569,ei,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ei"", ""eigenschaft"": ""stark""}"
570,sahne,0.5 päckchen,"{""anzahl"": 0.5, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Sahne""}"
571,milch,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}"
572,muskatnuss frisch gerieben,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""muskatnuss""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}"
573,pfeffer schwarz aus dermühle,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""pfeffer""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""aus der M\u00fchle""}"
574,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}"
575,mozzarella minis,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Mozzarella"", ""eigenschaft"": ""mini""}"
576,leerdamer käse,6 scheiben,"{""anzahl"": 6, ""einheit"": ""scheiben""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""Leerdamer""}"
577,weisskraut,1 kopf,"{""anzahl"": 1, ""einheit"": ""kopf""}","{""zutat"": ""Weiskraut"", ""eigenschaft"": ""wei\u00df""}"
578,salatgurke,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Salatgurke""}"
579,salz,1 el,"{""volumen"": 1, ""einheit"": ""el"", ""zutat"": ""salz""}","{""zutat"": ""Salz""}"
580,kräuteressig,0.125 liter,"{""volumen"": 0.125, ""einheit"": ""liter""}","{""zutat"": ""Essig"", ""eigenschaft"": ""kr\u00e4uter""}"
581,maiskeimöl,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""Maiskeim\u00f6l""}"
582,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
583,rotkohl frisch,0.25 kopf,"{""anzahl"": 0.25, ""einheit"": ""kopf""}","{""zutat"": ""Rotkohl"", ""eigenschaft"": ""frisch""}"
584,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
585,altmeister - essig,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""alt""}"
586,rapsöl,4 esslöffel,"{""anzahl"": 4, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
587,zimt gemahlen,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zimt""}","{""zutat"": ""Zimt"", ""eigenschaft"": ""gemahlen""}"
588,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
589,rotkohl frisch,0.25 kopf,"{""anzahl"": 0.25, ""einheit"": ""kopf""}","{""zutat"": ""Rotkohl"", ""eigenschaft"": ""frisch""}"
590,salz grob,1 teelöffel (gestrichen),"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}"
591,pfeffer aus der mühleschwarz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""m\u00fchleschwarz""}"
592,zucker,0.5 teelöffel,"{""volumen"": 0.5, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""halber""}"
593,zwiebel gewürfelt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
594,altmeister - essig,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""alt""}"
595,wasser kochend,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kochend""}"
596,fischfrikadellen s m kb,4,"{""anzahl"": 4, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Fischfrikadelle"", ""eigenschaft"": ""s""}"
597,quinoa,1 kleine tasse,"{""volumen"": 1, ""einheit"": ""tasse""}","{""zutat"": ""Quinoa"", ""eigenschaft"": ""klein""}"
598,wasser,2 kleine tassen,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Tasse"", ""eigenschaft"": ""klein""}"
599,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}"
600,paprikaschote rot,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""rot""}"
601,knoblauch frisch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""frisch""}"
602,butter,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Butter""}"
603,leberwurst,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Leberwurst""}"
604,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
605,spitzpaprika rot,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Spitzpaprika"", ""eigenschaft"": ""rot""}"
606,tomaten frisch,6 kleine,"{""anzahl"": 6, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}"
607,gemüsegurkenscheiben,12 stück,"{""anzahl"": 12, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Gem\u00fcsegurke"", ""eigenschaft"": ""geschnitten""}"
608,zucchinscheiben,8 stück,"{""anzahl"": 8, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zucchinischeibe""}"
609,schweizer käse  individuellgeschnitten,10 stücke,"{""anzahl"": 10, ""einheit"": ""st\u00fccke""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""individuell geschnitten""}"
610,johannisbeeren  rot,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Johannisbeere"", ""eigenschaft"": ""rot""}"
611,wassermelone frisch,1 mittelgross,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Wassermelone"", ""eigenschaft"": ""frisch""}"
612,feta eingelegt undgewürfelt,200 gr.,"{""gewicht"": 200, ""einheit"": ""gr""}","{""zutat"": ""Feta"", ""eigenschaft"": ""gew\u00fcrfelt""}"
613,rucola,1 bd.,"{""anzahl"": 1, ""einheit"": ""bd.""}","{""zutat"": ""Rucola""}"
614,salz,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz""}"
615,pfeffer bunt,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""pfeffer bunt""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""bunt""}"
616,paprika grün,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""gr\u00fcn""}"
617,paprika rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}"
618,paprika orange,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""orange""}"
619,zucchini,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini""}"
620,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}"
621,zwiebel gewürfelt,2 ½ stk.,"{""anzahl"": 2.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
622,knoblauch gehackt,2 zehen,"{""anzahl"": 2, ""einheit"": ""Zehen""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""gehackt""}"
623,tomatenmark dreifachkonzentriert,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}"
624,wasser,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}"
625,romatomaten,8 stk.,"{""anzahl"": 8, ""einheit"": ""stk.""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""roma""}"
626,estragon getrocknet,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Estragon"", ""eigenschaft"": ""getrocknet""}"
627,basilikum gehackt,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Basilikum"", ""eigenschaft"": ""gehackt""}"
628,rosmarin frisch,1 zweig,"{""anzahl"": 1, ""einheit"": ""Zweig""}","{""zutat"": ""Zweig"", ""eigenschaft"": ""frisch""}"
629,nudeln,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Nudel""}"
630,zucchini,1 ½ stk.,"{""anzahl"": 1.5, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini""}"
631,wasser,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}"
632,rucola,0.5 bund,"{""anzahl"": 0.5, ""einheit"": ""Bund""}","{""zutat"": ""Rucola"", ""eigenschaft"": ""bund""}"
633,kartoffeln festkochend,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""festkochend""}"
634,zwiebel,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel""}"
635,liebstöckel frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Liebst\u00f6ckel"", ""eigenschaft"": ""frisch""}"
636,schmand,8 teelöffel,"{""anzahl"": 8, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""acht""}"
637,schwein schnitzel,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Schnitzel"", ""eigenschaft"": ""schwein""}"
638,zucchini,6 scheibe,"{""anzahl"": 6, ""einheit"": ""Scheibe""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""geschnitten""}"
639,dörrfleisch,6 scheibe,"{""anzahl"": 6, ""einheit"": ""Scheibe""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""getrocknet""}"
640,emmentaler,6 scheibe,"{""anzahl"": 6, ""einheit"": ""Scheibe""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""Emmentaler""}"
641,ei,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ei""}"
642,pankomehl,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Panko"", ""eigenschaft"": ""japanisch""}"
643,spieße,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Spie\u00df""}"
644,butterschmalz,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}"
645,ebly,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Ebly"", ""eigenschaft"": ""roh""}"
646,fleischbrühe,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Br\u00fche"", ""eigenschaft"": ""fleischig""}"
647,buschbohnen frisch,1 voll,"{""anzahl"": 1, ""einheit"": ""voll""}","{""zutat"": ""Buschbohne"", ""eigenschaft"": ""frisch""}"
648,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
649,wasser,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}"
650,bohnenkraut fein geschnitten,0.5 teelöffel,"{""anzahl"": 0.5, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Bohnenkraut"", ""eigenschaft"": ""fein geschnitten""}"
651,karotten,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}"
652,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
653,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}"
654,möhre mittelgroß,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""M\u00f6hre"", ""eigenschaft"": ""mittelgro\u00df""}"
655,staudensellerie stangen,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Staudensellerie"", ""eigenschaft"": ""st\u00e4ngelnd""}"
656,kapern,30 gr.,"{""gewicht"": 30, ""einheit"": ""gr""}","{""zutat"": ""Kaper"", ""eigenschaft"": ""klein""}"
657,frühlingszwiebeln,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""fr\u00fch""}"
658,radieschen,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen""}"
659,kerbel gehackt,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Kerbel"", ""eigenschaft"": ""gehackt""}"
660,schnittlauch,1 bund,"{""anzahl"": 1, ""einheit"": ""bund""}","{""zutat"": ""Schnittlauch""}"
661,bärlauch frisch,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""B\u00e4rlauch"", ""eigenschaft"": ""frisch""}"
662,petersilie,1 zweig,"{""anzahl"": 1, ""einheit"": ""Zweig""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""zweig""}"
663,zitrone,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zitrone""}"
664,schmand,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}"
665,jostabeeren,1600 g,"{""gewicht"": 1600, ""einheit"": ""g""}","{""zutat"": ""Jostabeere"", ""eigenschaft"": ""rot""}"
666,wasser,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}"
667,flotte lotte,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Lotte"", ""eigenschaft"": ""flott""}"
668,gelierzucker  - ,420 g,"{""gewicht"": 420, ""einheit"": ""g""}","{""zutat"": ""Gelierzucker"", ""eigenschaft"": ""gelier""}"
669,gelierzucker  - ,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Gelierzucker"", ""eigenschaft"": ""gelb""}"
670,kirschen oder sauerkirschen entsteint,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Kirsche"", ""eigenschaft"": ""entsteint""}"
671,ananas gewürfelt,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Ananas"", ""eigenschaft"": ""gew\u00fcrfelt""}"
672,fruchtsaft  leicht gezuckert z  b  vom kirschenglas ,300 ml,"{""volumen"": 300, ""einheit"": ""ml""}","{""zutat"": ""Fruchtsaft"", ""eigenschaft"": ""gezuckert""}"
673,wasser heiß,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""hei\u00df""}"
674,speisestärke  mit kaltemwasser zuvor anrühren,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Speisest\u00e4rke"", ""eigenschaft"": ""kalt""}"
675,zitrone oder limette inscheiben  unbehandelt ,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""unbehandelt""}"
676,zimtrinde  gerieben,1 msp,"{""anzahl"": 1, ""einheit"": ""msp""}","{""zutat"": ""Zimtrinde"", ""eigenschaft"": ""gerieben""}"
677,eiswürfel,20 stück,"{""anzahl"": 20, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Eisw\u00fcrfel""}"
678,zucker  ersatzweise steviasüßmittel  - ,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Zucker""}"
679,farfalle,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Farfalle""}"
680,erbsen,1 tasse,"{""volumen"": 1, ""einheit"": ""tasse""}","{""zutat"": ""Erbe"", ""eigenschaft"": ""gr\u00fcn""}"
681,karotten gewürfelt,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gew\u00fcrfelt""}"
682,kochschinken,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""gekocht""}"
683,rapsöl,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Raps\u00f6l""}"
684,kondensmilch     fett,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Kondensmilch"", ""eigenschaft"": ""fett""}"
685,magermilch,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""mager""}"
686,cherry dattel tomaten,10 stk.,"{""anzahl"": 10, ""einheit"": ""stk.""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""dattel""}"
687,kerrygold bergkäse gerieben,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""Bergk\u00e4se""}"
688,parmesan gerieben,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}"
689,mangos frisch,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Mango"", ""eigenschaft"": ""frisch""}"
690,joghurt,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Joghurt""}"
691,crème fraîche,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Cr\u00e8me fra\u00eeche""}"
692,ebly aus hartweizen,140 g,"{""gewicht"": 140, ""einheit"": ""g""}","{""zutat"": ""Ebly"", ""eigenschaft"": ""aus Hartweizen""}"
693,rapsöl,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}"
694,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
695,knoblauch gehackt,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""gehackt""}"
696,gemüsebrühe heiß,300 ml,"{""volumen"": 300, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""hei\u00df""}"
697,schlotten,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Schlotte"", ""eigenschaft"": ""St\u00fcck""}"
698,paprika edelsüß,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""edels\u00fc\u00df""}"
699,parmesan gerieben,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}"
700,quinoa,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Quinoa""}"
701,gemüsebrühe,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}"
702,hirseflocken,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Hirscheflocke""}"
703,zwiebel,1 kleine,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""klein""}"
704,lauch,0.5 stange,"{""anzahl"": 0.5, ""einheit"": ""stange""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""Stange""}"
705,zitrone,1 spr,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""spr""}"
706,ei,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}"
707,pilze,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Pilz""}"
708,gemüsefond,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Fond"", ""eigenschaft"": ""gem\u00fcse""}"
709,peperoni,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Peperoni""}"
710,tomatenmark,3 tl,"{""volumen"": 3, ""einheit"": ""tl""}","{""zutat"": ""Tomatenmark""}"
711,curry,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Curry""}"
712,butter,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Butter""}"
713,sahne,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fl\u00fcssig""}"
714,paprikapulver,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""Pulver""}"
715,knoblauch frisch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""frisch""}"
716,paprika gelb,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""gelb""}"
717,cous cous,1 beutel,"{""anzahl"": 1, ""einheit"": ""beutel""}","{""zutat"": ""Couscous""}"
718,wasser kochend,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kochend""}"
719,feta gewürfelt,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Feta"", ""eigenschaft"": ""gew\u00fcrfelt""}"
720,lauchzwiebel frisch,0.5 bund,"{""anzahl"": 0.5, ""einheit"": ""bund""}","{""zutat"": ""Lauchzwiebel"", ""eigenschaft"": ""frisch""}"
721,cocktailtomaten,10 stk.,"{""anzahl"": 10, ""einheit"": ""stk.""}","{""zutat"": ""Cocktailtomate"", ""eigenschaft"": ""cocktail""}"
722,oliven schwarz,10 stk.,"{""anzahl"": 10, ""einheit"": ""stk.""}","{""zutat"": ""Olive"", ""eigenschaft"": ""schwarz""}"
723,olivenöl extra vergine,3 teelöffel,"{""anzahl"": 3, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""extra vergine""}"
724,zitronensaft,2 teelöffel,"{""anzahl"": 2, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""Zitronensaft""}"
725,honig flüssig,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Honig"", ""eigenschaft"": ""fl\u00fcssig""}"
726,curcuma    gelbwurz,3 teelöffel,"{""anzahl"": 3, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""3""}"
727,minze gehackt,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Minze"", ""eigenschaft"": ""gehackt""}"
728,chicoree frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chicor\u00e9e"", ""eigenschaft"": ""frisch""}"
729,cocktailtomaten,15 stk.,"{""anzahl"": 15, ""einheit"": ""stk.""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""Cocktail""}"
730,lauchzwiebeln frisch,1 bund,"{""anzahl"": 1, ""einheit"": ""bund""}","{""zutat"": ""Lauchzwiebel"", ""eigenschaft"": ""frisch""}"
731,minze gehackt,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Minze"", ""eigenschaft"": ""gehackt""}"
