Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit
511,karotte,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}",1.0,stück
512,fenchel frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Fenchel"", ""eigenschaft"": ""frisch""}",1.0,stück
513,ingwer frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ingwer"", ""eigenschaft"": ""frisch""}",1.0,stück
514,zucchini,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""stark""}",1.0,stück
515,curry,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Curry""}",0.005,liter
516,zwiebel,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel""}",3.0,stück
517,liebstöckel frisch,3 zweige,"{""anzahl"": 3, ""einheit"": ""zweige""}","{""zutat"": ""Liebst\u00f6ckel"", ""eigenschaft"": ""frisch""}",3.0,stück
518,wasser kochend,2.2 liter,"{""volumen"": 2.2, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kochend""}",2.2,liter
519,wasser kalt,2 liter,"{""volumen"": 2, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kalt""}",2.0,liter
520,chilli rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chili"", ""eigenschaft"": ""rot""}",1.0,stück
521,kalbfleisch,1 stck.,"{""anzahl"": 1, ""einheit"": ""stck.""}","{""zutat"": ""Kalbfleisch""}",1.0,stück
522,ei,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}",1.0,stück
523,semmelbrösel,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""Semmelbr\u00f6sel""}",0.045,liter
524,mehl,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Mehl""}",0.03,liter
525,zucchini,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini""}",1.0,stück
526,zitrone,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone""}",1.0,stück
527,minzeblätter,1 hand,"{""anzahl"": 1, ""einheit"": ""hand""}","{""zutat"": ""M\u00fcnzblatt"", ""eigenschaft"": ""hand""}",1.0,stück
528,hakkaido-kürbis,750 g,"{""gewicht"": 750, ""einheit"": ""g""}","{""zutat"": ""K\u00fcrbis"", ""eigenschaft"": ""Hakkaido""}",750.0,g
529,gemüsebrühe,2 liter,"{""volumen"": 2, ""einheit"": ""liter""}","{""zutat"": ""Br\u00fche"", ""eigenschaft"": ""gem\u00fcse-""}",2.0,liter
530,knoblauchzehe geschält,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gesch\u00e4lt""}",1.0,stück
531,lauch längs halbiert undgeschnitten,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""geschnitten""}",100.0,g
532,chilischote,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chilischote""}",1.0,stück
533,curry,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Curry""}",0.005,liter
534,äpfel elstar,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Apfel"", ""eigenschaft"": ""Elstar""}",2.0,stück
535,sahne   fett,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}",200.0,g
536,kürbiskerne,6 esslöffel,"{""anzahl"": 6, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Kern"", ""eigenschaft"": ""K\u00fcrbis""}",0.09,liter
537,sonnenblumenkerne geröstet,6 esslöffel,"{""anzahl"": 6, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Sonnenblumenkern"", ""eigenschaft"": ""ger\u00f6stet""}",0.09,liter
538,dinkelvollkornmehl,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Dinkelvollkornmehl""}",250.0,g
539,dinkelmehl typ  ,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Dinkelmehl"", ""eigenschaft"": ""typ""}",250.0,g
540,zuckerrübensirup,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Sirup"", ""eigenschaft"": ""Zuckerr\u00fcben""}",0.005,liter
541,salz,1 ½ tl,"{""anzahl"": 1.5, ""einheit"": ""tl""}","{""zutat"": ""Salz""}",0.0075,liter
542,hefe,1 würfel,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Hefe"", ""eigenschaft"": ""W\u00fcrfel""}",1.0,stück
543,öl,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""\u00d6l""}",0.045,liter
544,wasser warm,250 ml,"{""volumen"": 250, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""warm""}",0.25,liter
545,sonnenblumenkerne,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Sonnenblumenkern"", ""eigenschaft"": ""sonnen-""}",60.0,g
546,apfelmus,125 gramm,"{""gewicht"": 125, ""einheit"": ""gramm""}","{""zutat"": ""Apfelmus""}",125.0,g
547,kandisin pulver,10 gramm,"{""gewicht"": 10, ""einheit"": ""gramm""}","{""zutat"": ""Kandisin"", ""eigenschaft"": ""Pulver""}",10.0,g
548,vanillezucker,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Vanillezucker""}",1.0,stück
549,eier,3 stück,"{""anzahl"": 3, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""frisch""}",3.0,stück
550,zitronensaft,2 cl,"{""volumen"": 2, ""einheit"": ""cl""}","{""zutat"": ""Zitronensaft""}",0.02,liter
551,backpulver,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Backpulver""}",1.0,stück
552,kochpuddingpulver mitvanillegeschmack,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Puddingpulver"", ""eigenschaft"": ""Vanille""}",1.0,stück
553,weizen grieß,4 esslöffel,"{""anzahl"": 4, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essl\u00f6ffel"", ""eigenschaft"": ""Weizen""}",0.06,liter
554,topfen mager ,1 kg,"{""gewicht"": 1, ""einheit"": ""kg""}","{""zutat"": ""Topfen"", ""eigenschaft"": ""mager""}",1000.0,g
555,tomaten frisch aus demgarten,1 schüssel,"{""anzahl"": 1, ""einheit"": ""sch\u00fcssel""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""aus dem Garten""}",1.0,stück
556,paprika,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Paprika""}",3.0,stück
557,zwiebel rot,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}",1.0,stück
558,gurke,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Gurke""}",1.0,stück
559,basilikumblätter,1 hand voll,"{""anzahl"": 1, ""einheit"": ""hand voll""}","{""zutat"": ""Basilikumblatt""}",1.0,stück
560,essig,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig""}",0.03,liter
561,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.005,liter
562,honig flüssig,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Honig"", ""eigenschaft"": ""fl\u00fcssig""}",0.015,liter
563,olivenöl extra vergine,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}",0.03,liter
564,gemüsebrühe,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""gem\u00fcseartig""}",0.2,liter
565,küchenmaschine,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""K\u00fcchenmaschine""}",1.0,stück
566,romanesco,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Romanesco""}",1.0,stück
567,blumenkohl frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Blumenkohl"", ""eigenschaft"": ""frisch""}",1.0,stück
568,kartoffeln festkochend,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""festkochend""}",4.0,stück
569,ei,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ei"", ""eigenschaft"": ""stark""}",1.0,stück
570,sahne,0.5 päckchen,"{""anzahl"": 0.5, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Sahne""}",0.5,stück
571,milch,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}",0.15,liter
572,muskatnuss frisch gerieben,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""muskatnuss""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}",0.0005,liter
573,pfeffer schwarz aus dermühle,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""pfeffer""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""aus der M\u00fchle""}",0.0005,liter
574,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.005,liter
575,mozzarella minis,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Mozzarella"", ""eigenschaft"": ""mini""}",1.0,stück
576,leerdamer käse,6 scheiben,"{""anzahl"": 6, ""einheit"": ""scheiben""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""Leerdamer""}",6.0,stück
577,weisskraut,1 kopf,"{""anzahl"": 1, ""einheit"": ""kopf""}","{""zutat"": ""Weiskraut"", ""eigenschaft"": ""wei\u00df""}",1.0,stück
578,salatgurke,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Salatgurke""}",1.0,stück
579,salz,1 el,"{""volumen"": 1, ""einheit"": ""el"", ""zutat"": ""salz""}","{""zutat"": ""Salz""}",0.015,liter
580,kräuteressig,0.125 liter,"{""volumen"": 0.125, ""einheit"": ""liter""}","{""zutat"": ""Essig"", ""eigenschaft"": ""kr\u00e4uter""}",0.125,liter
581,maiskeimöl,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""Maiskeim\u00f6l""}",0.06,liter
582,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
583,rotkohl frisch,0.25 kopf,"{""anzahl"": 0.25, ""einheit"": ""kopf""}","{""zutat"": ""Rotkohl"", ""eigenschaft"": ""frisch""}",0.25,stück
584,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
585,altmeister - essig,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""alt""}",0.03,liter
586,rapsöl,4 esslöffel,"{""anzahl"": 4, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.06,liter
587,zimt gemahlen,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zimt""}","{""zutat"": ""Zimt"", ""eigenschaft"": ""gemahlen""}",0.0005,liter
588,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
589,rotkohl frisch,0.25 kopf,"{""anzahl"": 0.25, ""einheit"": ""kopf""}","{""zutat"": ""Rotkohl"", ""eigenschaft"": ""frisch""}",0.25,stück
590,salz grob,1 teelöffel (gestrichen),"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.005,liter
591,pfeffer aus der mühleschwarz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""m\u00fchleschwarz""}",0.0005,liter
592,zucker,0.5 teelöffel,"{""volumen"": 0.5, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""halber""}",0.0025,liter
593,zwiebel gewürfelt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
594,altmeister - essig,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""alt""}",0.03,liter
595,wasser kochend,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kochend""}",1.0,liter
596,fischfrikadellen s m kb,4,"{""anzahl"": 4, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Fischfrikadelle"", ""eigenschaft"": ""s""}",4.0,stück
597,quinoa,1 kleine tasse,"{""volumen"": 1, ""einheit"": ""tasse""}","{""zutat"": ""Quinoa"", ""eigenschaft"": ""klein""}",0.25,liter
598,wasser,2 kleine tassen,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Tasse"", ""eigenschaft"": ""klein""}",2.0,stück
599,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}",1.0,stück
600,paprikaschote rot,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""rot""}",1.0,stück
601,knoblauch frisch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""frisch""}",1.0,stück
602,butter,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Butter""}",0.005,liter
603,leberwurst,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Leberwurst""}",250.0,g
604,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stück
605,spitzpaprika rot,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Spitzpaprika"", ""eigenschaft"": ""rot""}",1.0,stück
606,tomaten frisch,6 kleine,"{""anzahl"": 6, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",6.0,stück
607,gemüsegurkenscheiben,12 stück,"{""anzahl"": 12, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Gem\u00fcsegurke"", ""eigenschaft"": ""geschnitten""}",12.0,stück
608,zucchinscheiben,8 stück,"{""anzahl"": 8, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zucchinischeibe""}",8.0,stück
609,schweizer käse  individuellgeschnitten,10 stücke,"{""anzahl"": 10, ""einheit"": ""st\u00fccke""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""individuell geschnitten""}",10.0,stück
610,johannisbeeren  rot,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Johannisbeere"", ""eigenschaft"": ""rot""}",40.0,g
611,wassermelone frisch,1 mittelgross,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Wassermelone"", ""eigenschaft"": ""frisch""}",1.0,stück
612,feta eingelegt undgewürfelt,200 gr.,"{""gewicht"": 200, ""einheit"": ""gr""}","{""zutat"": ""Feta"", ""eigenschaft"": ""gew\u00fcrfelt""}",200.0,g
613,rucola,1 bd.,"{""anzahl"": 1, ""einheit"": ""bd.""}","{""zutat"": ""Rucola""}",1.0,stück
614,salz,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz""}",0.0005,liter
615,pfeffer bunt,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""pfeffer bunt""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""bunt""}",0.0005,liter
616,paprika grün,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""gr\u00fcn""}",1.0,stück
617,paprika rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",1.0,stück
618,paprika orange,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""orange""}",0.5,stück
619,zucchini,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini""}",1.0,stück
620,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}",0.015,liter
621,zwiebel gewürfelt,2 ½ stk.,"{""anzahl"": 2.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",2.5,stück
622,knoblauch gehackt,2 zehen,"{""anzahl"": 2, ""einheit"": ""Zehen""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""gehackt""}",2.0,stück
623,tomatenmark dreifachkonzentriert,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}",0.015,liter
624,wasser,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",0.05,liter
625,romatomaten,8 stk.,"{""anzahl"": 8, ""einheit"": ""stk.""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""roma""}",8.0,stück
626,estragon getrocknet,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Estragon"", ""eigenschaft"": ""getrocknet""}",0.005,liter
627,basilikum gehackt,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Basilikum"", ""eigenschaft"": ""gehackt""}",0.005,liter
628,rosmarin frisch,1 zweig,"{""anzahl"": 1, ""einheit"": ""Zweig""}","{""zutat"": ""Zweig"", ""eigenschaft"": ""frisch""}",1.0,stück
629,nudeln,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Nudel""}",300.0,g
630,zucchini,1 ½ stk.,"{""anzahl"": 1.5, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini""}",1.5,stück
631,wasser,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",0.1,liter
632,rucola,0.5 bund,"{""anzahl"": 0.5, ""einheit"": ""Bund""}","{""zutat"": ""Rucola"", ""eigenschaft"": ""bund""}",0.5,stück
633,kartoffeln festkochend,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""festkochend""}",1.0,stück
634,zwiebel,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel""}",0.5,stück
635,liebstöckel frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Liebst\u00f6ckel"", ""eigenschaft"": ""frisch""}",1.0,stück
636,schmand,8 teelöffel,"{""anzahl"": 8, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""acht""}",0.04,liter
637,schwein schnitzel,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Schnitzel"", ""eigenschaft"": ""schwein""}",2.0,stück
638,zucchini,6 scheibe,"{""anzahl"": 6, ""einheit"": ""Scheibe""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""geschnitten""}",6.0,stück
639,dörrfleisch,6 scheibe,"{""anzahl"": 6, ""einheit"": ""Scheibe""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""getrocknet""}",6.0,stück
640,emmentaler,6 scheibe,"{""anzahl"": 6, ""einheit"": ""Scheibe""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""Emmentaler""}",6.0,stück
641,ei,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ei""}",1.0,stück
642,pankomehl,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Panko"", ""eigenschaft"": ""japanisch""}",100.0,g
643,spieße,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Spie\u00df""}",2.0,stück
644,butterschmalz,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}",0.03,liter
645,ebly,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Ebly"", ""eigenschaft"": ""roh""}",100.0,g
646,fleischbrühe,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Br\u00fche"", ""eigenschaft"": ""fleischig""}",1.0,liter
647,buschbohnen frisch,1 voll,"{""anzahl"": 1, ""einheit"": ""voll""}","{""zutat"": ""Buschbohne"", ""eigenschaft"": ""frisch""}",1.0,stück
648,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück
649,wasser,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",1.0,liter
650,bohnenkraut fein geschnitten,0.5 teelöffel,"{""anzahl"": 0.5, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Bohnenkraut"", ""eigenschaft"": ""fein geschnitten""}",0.0025,liter
651,karotten,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}",1.0,stück
652,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
653,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.005,liter
654,möhre mittelgroß,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""M\u00f6hre"", ""eigenschaft"": ""mittelgro\u00df""}",2.0,stück
655,staudensellerie stangen,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Staudensellerie"", ""eigenschaft"": ""st\u00e4ngelnd""}",1.0,stück
656,kapern,30 gr.,"{""gewicht"": 30, ""einheit"": ""gr""}","{""zutat"": ""Kaper"", ""eigenschaft"": ""klein""}",30.0,g
657,frühlingszwiebeln,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""fr\u00fch""}",3.0,stück
658,radieschen,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen""}",6.0,stück
659,kerbel gehackt,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Kerbel"", ""eigenschaft"": ""gehackt""}",0.015,liter
660,schnittlauch,1 bund,"{""anzahl"": 1, ""einheit"": ""bund""}","{""zutat"": ""Schnittlauch""}",1.0,stück
661,bärlauch frisch,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""B\u00e4rlauch"", ""eigenschaft"": ""frisch""}",0.015,liter
662,petersilie,1 zweig,"{""anzahl"": 1, ""einheit"": ""Zweig""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""zweig""}",1.0,stück
663,zitrone,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zitrone""}",1.0,stück
664,schmand,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}",0.25,liter
665,jostabeeren,1600 g,"{""gewicht"": 1600, ""einheit"": ""g""}","{""zutat"": ""Jostabeere"", ""eigenschaft"": ""rot""}",1600.0,g
666,wasser,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",0.2,liter
667,flotte lotte,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Lotte"", ""eigenschaft"": ""flott""}",1.0,stück
668,gelierzucker  - ,420 g,"{""gewicht"": 420, ""einheit"": ""g""}","{""zutat"": ""Gelierzucker"", ""eigenschaft"": ""gelier""}",420.0,g
669,gelierzucker  - ,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Gelierzucker"", ""eigenschaft"": ""gelb""}",250.0,g
670,kirschen oder sauerkirschen entsteint,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Kirsche"", ""eigenschaft"": ""entsteint""}",100.0,g
671,ananas gewürfelt,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Ananas"", ""eigenschaft"": ""gew\u00fcrfelt""}",100.0,g
672,fruchtsaft  leicht gezuckert z  b  vom kirschenglas ,300 ml,"{""volumen"": 300, ""einheit"": ""ml""}","{""zutat"": ""Fruchtsaft"", ""eigenschaft"": ""gezuckert""}",0.3,liter
673,wasser heiß,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""hei\u00df""}",0.2,liter
674,speisestärke  mit kaltemwasser zuvor anrühren,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Speisest\u00e4rke"", ""eigenschaft"": ""kalt""}",0.015,liter
675,zitrone oder limette inscheiben  unbehandelt ,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""unbehandelt""}",1.0,stück
676,zimtrinde  gerieben,1 msp,"{""anzahl"": 1, ""einheit"": ""msp""}","{""zutat"": ""Zimtrinde"", ""eigenschaft"": ""gerieben""}",0.0005,liter
677,eiswürfel,20 stück,"{""anzahl"": 20, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Eisw\u00fcrfel""}",20.0,stück
678,zucker  ersatzweise steviasüßmittel  - ,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Zucker""}",0.005,liter
